"Dist Code","Year","State Code","State Name","Dist Name","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)"
"72","2015","5","Karnataka","Chitradurga","111.99","80.38","717.74"
"72","2016","5","Karnataka","Chitradurga","143.25","38.84","271.14"
"72","2017","5","Karnataka","Chitradurga","108.39","119.94","1106.5"
"73","2008","5","Karnataka","Bellary","71.93","24.09","334.91"
"73","2009","5","Karnataka","Bellary","70.93","23.42","330.18"
"73","2010","5","Karnataka","Bellary","72.26","52.42","725.44"
"73","2011","5","Karnataka","Bellary","66.8","48.6","727.54"
"73","2012","5","Karnataka","Bellary","60.12","42.65","709.41"
"73","2013","5","Karnataka","Bellary","53.75","64.83","1206.14"
"73","2014","5","Karnataka","Bellary","54.81","53.36","973.54"
"73","2015","5","Karnataka","Bellary","49.76","46.58","936.09"
"73","2016","5","Karnataka","Bellary","36.38","42.74","1174.7"
"73","2017","5","Karnataka","Bellary","60.42","90.14","1491.96"
"74","2008","5","Karnataka","Dharwad","111.74","52.21","467.25"
"74","2009","5","Karnataka","Dharwad","127.99","75.47","589.66"
"74","2010","5","Karnataka","Dharwad","120.97","130.69","1080.35"
"74","2011","5","Karnataka","Dharwad","106.27","100.22","943.07"
"74","2012","5","Karnataka","Dharwad","68.73","44.94","653.86"
"74","2013","5","Karnataka","Dharwad","104.0","101.53","976.25"
"74","2014","5","Karnataka","Dharwad","88.16","80.92","917.88"
"74","2015","5","Karnataka","Dharwad","95.11","53.76","565.24"
"74","2016","5","Karnataka","Dharwad","99.76","59.65","597.95"
"74","2017","5","Karnataka","Dharwad","78.4","77.18","984.45"
"75","2008","5","Karnataka","Belgaum","50.97","30.21","592.7"
"75","2009","5","Karnataka","Belgaum","51.66","31.42","608.21"
"75","2010","5","Karnataka","Belgaum","42.95","40.13","934.34"
"75","2011","5","Karnataka","Belgaum","36.25","33.34","919.72"
"75","2012","5","Karnataka","Belgaum","37.43","29.63","791.61"
"75","2013","5","Karnataka","Belgaum","39.52","39.21","992.16"
"75","2014","5","Karnataka","Belgaum","37.73","34.59","916.78"
"75","2015","5","Karnataka","Belgaum","37.42","21.34","570.28"
"75","2016","5","Karnataka","Belgaum","35.36","34.66","980.32"
"75","2017","5","Karnataka","Belgaum","32.63","39.93","1223.77"
"76","2008","5","Karnataka","Bijapur / Vijayapura","68.26","45.26","663.05"
"76","2009","5","Karnataka","Bijapur / Vijayapura","101.43","59.45","586.12"
"76","2010","5","Karnataka","Bijapur / Vijayapura","91.73","72.54","790.8"
"76","2011","5","Karnataka","Bijapur / Vijayapura","68.43","45.04","658.19"
"76","2012","5","Karnataka","Bijapur / Vijayapura","67.59","55.29","818.02"
"76","2013","5","Karnataka","Bijapur / Vijayapura","62.58","53.39","853.15"
"76","2014","5","Karnataka","Bijapur / Vijayapura","68.69","55.54","808.56"
"76","2015","5","Karnataka","Bijapur / Vijayapura","51.11","33.37","652.91"
"76","2016","5","Karnataka","Bijapur / Vijayapura","69.98","64.58","922.85"
"76","2017","5","Karnataka","Bijapur / Vijayapura","76.21","79.17","1038.85"
"77","2008","5","Karnataka","Bidar","1.11","0.7","630.63"
"77","2009","5","Karnataka","Bidar","1.14","0.68","596.49"
"77","2010","5","Karnataka","Bidar","0.87","0.67","770.11"
"77","2011","5","Karnataka","Bidar","0.86","0.63","732.56"
"77","2012","5","Karnataka","Bidar","1.11","1.07","963.96"
"77","2013","5","Karnataka","Bidar","0.94","0.68","723.4"
"77","2014","5","Karnataka","Bidar","0.35","0.15","428.57"
"77","2015","5","Karnataka","Bidar","0.3","0.08","266.67"
"77","2016","5","Karnataka","Bidar","0.08","0.06","807.69"
"77","2017","5","Karnataka","Bidar","0.06","0.07","1078.12"
"78","2008","5","Karnataka","Raichur","81.15","55.32","681.7"
"78","2009","5","Karnataka","Raichur","87.01","51.49","591.77"
"78","2010","5","Karnataka","Raichur","84.62","78.37","926.14"
"78","2011","5","Karnataka","Raichur","79.95","61.34","767.23"
"78","2012","5","Karnataka","Raichur","75.89","55.96","737.38"
"78","2013","5","Karnataka","Raichur","86.14","76.14","883.91"
"78","2014","5","Karnataka","Raichur","68.02","60.6","890.91"
"78","2015","5","Karnataka","Raichur","58.23","44.04","756.31"
"78","2016","5","Karnataka","Raichur","69.24","61.98","895.21"
"78","2017","5","Karnataka","Raichur","52.35","64.8","1237.69"
"79","2008","5","Karnataka","Gulbarga / Kalaburagi","41.33","26.75","647.23"
"79","2009","5","Karnataka","Gulbarga / Kalaburagi","60.04","38.82","646.57"
"79","2010","5","Karnataka","Gulbarga / Kalaburagi","42.48","29.78","701.04"
"79","2011","5","Karnataka","Gulbarga / Kalaburagi","35.23","23.06","654.56"
"79","2012","5","Karnataka","Gulbarga / Kalaburagi","37.38","36.16","967.36"
"79","2013","5","Karnataka","Gulbarga / Kalaburagi","45.2","34.48","762.83"
"79","2014","5","Karnataka","Gulbarga / Kalaburagi","47.46","29.52","622.0"
"79","2015","5","Karnataka","Gulbarga / Kalaburagi","42.66","19.03","446.09"
"79","2016","5","Karnataka","Gulbarga / Kalaburagi","58.8","54.72","930.69"
"79","2017","5","Karnataka","Gulbarga / Kalaburagi","57.17","63.26","1106.62"
"80","2008","5","Karnataka","Dakshina Kannada","2.13","4.17","1957.75"
"80","2009","5","Karnataka","Dakshina Kannada","2.09","4.48","2143.54"
"80","2010","5","Karnataka","Dakshina Kannada","2.06","4.1","1990.29"
"80","2011","5","Karnataka","Dakshina Kannada","2.05","1.69","824.39"
"80","2012","5","Karnataka","Dakshina Kannada","1.87","2.82","1508.02"
"80","2013","5","Karnataka","Dakshina Kannada","1.84","3.47","1885.87"
"80","2014","5","Karnataka","Dakshina Kannada","1.8","3.65","2027.78"
"80","2015","5","Karnataka","Dakshina Kannada","1.82","3.96","2175.82"
"80","2016","5","Karnataka","Dakshina Kannada","1.67","4.02","2401.67"
"80","2017","5","Karnataka","Dakshina Kannada","1.77","4.13","2329.2"
"81","2008","5","Karnataka","Uttara Kannada","2.95","4.14","1403.39"
"81","2009","5","Karnataka","Uttara Kannada","2.95","4.81","1630.51"
"81","2010","5","Karnataka","Uttara Kannada","2.94","4.66","1585.03"
"81","2011","5","Karnataka","Uttara Kannada","2.55","3.32","1301.96"
"81","2012","5","Karnataka","Uttara Kannada","2.4","3.74","1558.33"
"81","2013","5","Karnataka","Uttara Kannada","2.38","4.14","1739.5"
"81","2014","5","Karnataka","Uttara Kannada","2.1","3.92","1866.67"
"81","2015","5","Karnataka","Uttara Kannada","1.95","2.98","1528.21"
"81","2016","5","Karnataka","Uttara Kannada","1.71","3.5","2049.18"
"81","2017","5","Karnataka","Uttara Kannada","1.68","3.55","2111.11"
"82","2008","5","Karnataka","Kodagu / Coorg","0.04","0.03","750.0"
"82","2009","5","Karnataka","Kodagu / Coorg","0.03","0.03","1000.0"
"82","2010","5","Karnataka","Kodagu / Coorg","0.02","0.02","1000.0"
"82","2011","5","Karnataka","Kodagu / Coorg","0.0","0.0","0.0"
"82","2012","5","Karnataka","Kodagu / Coorg","0.0","0.0","0.0"
"82","2013","5","Karnataka","Kodagu / Coorg","0.01","0.01","1000.0"
"82","2014","5","Karnataka","Kodagu / Coorg","0.07","0.05","714.29"
"82","2015","5","Karnataka","Kodagu / Coorg","0.06","0.04","666.67"
"82","2016","5","Karnataka","Kodagu / Coorg","0.06","0.03","500.0"
"82","2017","5","Karnataka","Kodagu / Coorg","0.06","0.07","1111.11"
"83","2008","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","35.49","131.0","3691.18"
"83","2009","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","29.14","123.08","4223.75"
"83","2010","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","26.68","109.37","4099.33"
"83","2011","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","26.2","102.83","3924.81"
"83","2012","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","26.22","104.15","3972.16"
"83","2013","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","21.53","92.86","4313.05"
"83","2014","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","17.82","73.24","4109.99"
"83","2015","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","18.19","66.72","3667.95"
"83","2016","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","16.17","61.18","3782.32"
"83","2017","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","18.18","73.23","4028.5"
"84","2008","11","Tamil Nadu","South Arcot / Cuddalore","66.77","164.74","2467.28"
"84","2009","11","Tamil Nadu","South Arcot / Cuddalore","61.21","177.57","2901.0"
"84","2010","11","Tamil Nadu","South Arcot / Cuddalore","49.44","125.19","2532.16"
"84","2011","11","Tamil Nadu","South Arcot / Cuddalore","45.92","133.45","2906.14"
"84","2012","11","Tamil Nadu","South Arcot / Cuddalore","45.03","132.54","2943.37"
"84","2013","11","Tamil Nadu","South Arcot / Cuddalore","57.16","193.8","3390.48"
"84","2014","11","Tamil Nadu","South Arcot / Cuddalore","44.57","156.29","3506.62"
"84","2015","11","Tamil Nadu","South Arcot / Cuddalore","43.56","162.9","3739.67"
"84","2016","11","Tamil Nadu","South Arcot / Cuddalore","32.7","115.91","3544.85"
"84","2017","11","Tamil Nadu","South Arcot / Cuddalore","47.14","191.8","4068.9"
"85","2008","11","Tamil Nadu","North Arcot / Vellore","148.61","234.95","1580.98"
"85","2009","11","Tamil Nadu","North Arcot / Vellore","112.55","209.17","1858.46"
"85","2010","11","Tamil Nadu","North Arcot / Vellore","105.48","213.0","2019.34"
"85","2011","11","Tamil Nadu","North Arcot / Vellore","98.79","250.1","2531.63"
"85","2012","11","Tamil Nadu","North Arcot / Vellore","95.15","201.8","2120.86"
"85","2013","11","Tamil Nadu","North Arcot / Vellore","95.13","237.98","2501.63"
"85","2014","11","Tamil Nadu","North Arcot / Vellore","108.2","274.9","2540.67"
"85","2015","11","Tamil Nadu","North Arcot / Vellore","101.65","222.17","2185.64"
"85","2016","11","Tamil Nadu","North Arcot / Vellore","84.9","167.22","1969.51"
"85","2017","11","Tamil Nadu","North Arcot / Vellore","93.7","280.51","2993.62"
"86","2008","11","Tamil Nadu","Salem","84.93","150.84","1776.05"
"86","2009","11","Tamil Nadu","Salem","78.34","128.43","1639.39"
"86","2010","11","Tamil Nadu","Salem","78.94","178.94","2266.78"
"86","2011","11","Tamil Nadu","Salem","78.99","216.49","2740.73"
"86","2012","11","Tamil Nadu","Salem","74.79","134.73","1801.44"
"86","2013","11","Tamil Nadu","Salem","70.94","159.39","2246.83"
"86","2014","11","Tamil Nadu","Salem","70.4","161.91","2299.86"
"86","2015","11","Tamil Nadu","Salem","76.36","160.18","2097.7"
"86","2016","11","Tamil Nadu","Salem","64.18","80.41","1252.91"
"86","2017","11","Tamil Nadu","Salem","66.56","179.0","2689.27"
"87","2008","11","Tamil Nadu","Coimbatore","32.45","44.74","1378.95"
"87","2009","11","Tamil Nadu","Coimbatore","30.36","54.5","1795.13"
"87","2010","11","Tamil Nadu","Coimbatore","26.83","46.52","1733.56"
"87","2011","11","Tamil Nadu","Coimbatore","28.83","66.08","2291.83"
"87","2012","11","Tamil Nadu","Coimbatore","20.28","35.95","1772.44"
"87","2013","11","Tamil Nadu","Coimbatore","17.24","34.85","2021.17"
"87","2014","11","Tamil Nadu","Coimbatore","14.36","38.34","2671.19"
"87","2015","11","Tamil Nadu","Coimbatore","17.11","45.03","2632.56"
"87","2016","11","Tamil Nadu","Coimbatore","14.46","27.54","1904.5"
"87","2017","11","Tamil Nadu","Coimbatore","18.26","48.29","2643.83"
"88","2008","11","Tamil Nadu","Tiruchirapalli / Trichy","57.86","116.43","2012.26"
"88","2009","11","Tamil Nadu","Tiruchirapalli / Trichy","50.58","97.58","1929.33"
"88","2010","11","Tamil Nadu","Tiruchirapalli / Trichy","46.63","100.57","2156.93"
"88","2011","11","Tamil Nadu","Tiruchirapalli / Trichy","49.37","128.79","2608.82"
"88","2012","11","Tamil Nadu","Tiruchirapalli / Trichy","35.44","76.05","2146.08"
"88","2013","11","Tamil Nadu","Tiruchirapalli / Trichy","36.32","100.71","2773.07"
"88","2014","11","Tamil Nadu","Tiruchirapalli / Trichy","39.86","106.07","2661.36"
"88","2015","11","Tamil Nadu","Tiruchirapalli / Trichy","42.17","107.4","2547.03"
"88","2016","11","Tamil Nadu","Tiruchirapalli / Trichy","32.33","59.35","1835.71"
"88","2017","11","Tamil Nadu","Tiruchirapalli / Trichy","41.18","117.78","2860.05"
"89","2008","11","Tamil Nadu","Thanjavur","23.58","51.5","2183.62"
"89","2009","11","Tamil Nadu","Thanjavur","19.92","57.05","2863.62"
"89","2010","11","Tamil Nadu","Thanjavur","19.54","60.03","3072.46"
"89","2011","11","Tamil Nadu","Thanjavur","22.2","70.55","3177.97"
"89","2012","11","Tamil Nadu","Thanjavur","17.88","45.45","2541.76"
"89","2013","11","Tamil Nadu","Thanjavur","16.9","54.13","3202.72"
"89","2014","11","Tamil Nadu","Thanjavur","15.01","43.7","2911.86"
"89","2015","11","Tamil Nadu","Thanjavur","16.62","54.88","3302.39"
"89","2016","11","Tamil Nadu","Thanjavur","17.82","46.89","2630.75"
"89","2017","11","Tamil Nadu","Thanjavur","20.11","70.45","3503.41"
"90","2008","11","Tamil Nadu","Madurai","18.08","48.96","2707.96"
"90","2009","11","Tamil Nadu","Madurai","13.41","30.69","2288.59"
"90","2010","11","Tamil Nadu","Madurai","16.75","42.35","2528.36"
"90","2011","11","Tamil Nadu","Madurai","18.43","56.86","3085.19"
"90","2012","11","Tamil Nadu","Madurai","11.32","31.89","2817.14"
"90","2013","11","Tamil Nadu","Madurai","8.2","21.51","2623.17"
"90","2014","11","Tamil Nadu","Madurai","12.49","43.12","3452.36"
"90","2015","11","Tamil Nadu","Madurai","15.44","41.84","2709.84"
"90","2016","11","Tamil Nadu","Madurai","6.97","15.72","2255.99"
"90","2017","11","Tamil Nadu","Madurai","9.84","27.59","2803.6"
"91","2008","11","Tamil Nadu","Ramananthapuram","18.41","25.58","1389.46"
"91","2009","11","Tamil Nadu","Ramananthapuram","15.42","14.58","945.53"
"91","2010","11","Tamil Nadu","Ramananthapuram","13.71","16.28","1187.45"
"91","2011","11","Tamil Nadu","Ramananthapuram","15.28","30.71","2009.82"
"91","2012","11","Tamil Nadu","Ramananthapuram","11.45","18.23","1592.14"
"91","2013","11","Tamil Nadu","Ramananthapuram","12.04","17.26","1433.55"
"91","2014","11","Tamil Nadu","Ramananthapuram","11.2","19.46","1737.5"
"91","2015","11","Tamil Nadu","Ramananthapuram","12.45","22.31","1791.97"
"91","2016","11","Tamil Nadu","Ramananthapuram","11.29","10.83","958.99"
"91","2017","11","Tamil Nadu","Ramananthapuram","11.18","14.65","1309.96"
"92","2008","11","Tamil Nadu","Thirunelveli","3.66","6.02","1644.81"
"92","2009","11","Tamil Nadu","Thirunelveli","2.08","3.05","1466.35"
"92","2010","11","Tamil Nadu","Thirunelveli","1.53","3.39","2215.69"
"92","2011","11","Tamil Nadu","Thirunelveli","1.6","4.79","2993.75"
"92","2012","11","Tamil Nadu","Thirunelveli","1.74","4.55","2614.94"
"92","2013","11","Tamil Nadu","Thirunelveli","1.15","3.3","2869.57"
"92","2014","11","Tamil Nadu","Thirunelveli","2.62","8.11","3095.42"
"92","2015","11","Tamil Nadu","Thirunelveli","3.08","8.83","2866.88"
"92","2016","11","Tamil Nadu","Thirunelveli","1.63","3.76","2304.29"
"92","2017","11","Tamil Nadu","Thirunelveli","1.18","4.09","3483.4"
"93","2008","11","Tamil Nadu","The Nilgiris","0.0","0.0","0.0"
"93","2009","11","Tamil Nadu","The Nilgiris","0.01","0.01","1000.0"
"93","2010","11","Tamil Nadu","The Nilgiris","0.0","0.01","0.0"
"93","2011","11","Tamil Nadu","The Nilgiris","0.0","0.0","0.0"
"93","2012","11","Tamil Nadu","The Nilgiris","0.0","0.0","0.0"
"93","2013","11","Tamil Nadu","The Nilgiris","0.0","0.01","0.0"
"93","2014","11","Tamil Nadu","The Nilgiris","0.0","0.0","0.0"
"93","2015","11","Tamil Nadu","The Nilgiris","0.0","0.01","0.0"
"93","2016","11","Tamil Nadu","The Nilgiris","0.0","0.01","1500.0"
"93","2017","11","Tamil Nadu","The Nilgiris","0.01","0.02","2857.14"
"94","2008","11","Tamil Nadu","Kanyakumari","0.02","0.03","1500.0"
"94","2009","11","Tamil Nadu","Kanyakumari","0.02","0.03","1500.0"
"94","2010","11","Tamil Nadu","Kanyakumari","0.01","0.01","1000.0"
"94","2011","11","Tamil Nadu","Kanyakumari","0.02","0.03","1500.0"
"94","2012","11","Tamil Nadu","Kanyakumari","0.03","0.06","2000.0"
"94","2013","11","Tamil Nadu","Kanyakumari","0.03","0.08","2666.67"
"94","2014","11","Tamil Nadu","Kanyakumari","0.01","0.04","4000.0"
"94","2015","11","Tamil Nadu","Kanyakumari","0.01","0.04","4000.0"
"94","2016","11","Tamil Nadu","Kanyakumari","0.03","0.06","1933.33"
"94","2017","11","Tamil Nadu","Kanyakumari","0.01","0.03","3400.0"
"95","2008","7","Maharashtra","Bombay","0.0","0.0","0.0"
"95","2009","7","Maharashtra","Bombay","0.0","0.0","0.0"
"95","2010","7","Maharashtra","Bombay","0.0","0.0","0.0"
"95","2011","7","Maharashtra","Bombay","0.0","0.0","0.0"
"95","2012","7","Maharashtra","Bombay","0.0","0.0","0.0"
"95","2016","7","Maharashtra","Bombay","0.0","0.0","0.0"
"96","2008","7","Maharashtra","Thane","0.5","0.8","1600.0"
"96","2009","7","Maharashtra","Thane","0.4","0.7","1750.0"
"96","2010","7","Maharashtra","Thane","0.5","0.66","1320.0"
"96","2011","7","Maharashtra","Thane","0.1","0.14","1400.0"
"96","2012","7","Maharashtra","Thane","0.1","0.2","2000.0"
"96","2013","7","Maharashtra","Thane","0.0","0.0","0.0"
"96","2014","7","Maharashtra","Thane","0.2","0.2","1000.0"
"96","2015","7","Maharashtra","Thane","0.17","0.3","1764.71"
"96","2016","7","Maharashtra","Thane","0.2","0.2","1000.0"
"96","2017","7","Maharashtra","Thane","0.08","0.1","1320.51"
"97","2008","7","Maharashtra","Raigad","0.3","0.5","1666.67"
"97","2009","7","Maharashtra","Raigad","0.3","0.4","1333.33"
"97","2010","7","Maharashtra","Raigad","0.3","0.37","1233.33"
"97","2011","7","Maharashtra","Raigad","0.3","0.54","1800.0"
"97","2012","7","Maharashtra","Raigad","0.3","0.47","1566.67"
"97","2013","7","Maharashtra","Raigad","0.2","0.6","3000.0"
"97","2014","7","Maharashtra","Raigad","0.2","0.6","3000.0"
"97","2015","7","Maharashtra","Raigad","0.2","0.3","1500.0"
"97","2016","7","Maharashtra","Raigad","0.2","0.3","1500.0"
"97","2017","7","Maharashtra","Raigad","0.12","0.2","1626.02"
"98","2008","7","Maharashtra","Ratnagiri","5.9","8.3","1406.78"
"98","2009","7","Maharashtra","Ratnagiri","5.8","8.54","1472.41"
"98","2010","7","Maharashtra","Ratnagiri","5.8","9.17","1581.03"
"98","2011","7","Maharashtra","Ratnagiri","5.1","8.08","1584.31"
"98","2012","7","Maharashtra","Ratnagiri","4.21","6.68","1586.7"
"98","2013","7","Maharashtra","Ratnagiri","4.1","7.6","1853.66"
"98","2014","7","Maharashtra","Ratnagiri","3.3","5.0","1515.15"
"98","2015","7","Maharashtra","Ratnagiri","2.91","4.41","1515.46"
"98","2016","7","Maharashtra","Ratnagiri","1.5","2.17","1446.67"
"98","2017","7","Maharashtra","Ratnagiri","1.37","2.64","1921.4"
"99","2008","7","Maharashtra","Nasik","29.9","27.8","929.77"
"99","2009","7","Maharashtra","Nasik","24.8","18.72","754.84"
"99","2010","7","Maharashtra","Nasik","34.26","29.53","861.94"
"99","2011","7","Maharashtra","Nasik","28.8","29.61","1028.13"
"99","2012","7","Maharashtra","Nasik","30.24","26.38","872.35"
"99","2013","7","Maharashtra","Nasik","33.5","34.74","1037.01"
"99","2014","7","Maharashtra","Nasik","20.0","20.3","1015.0"
"99","2015","7","Maharashtra","Nasik","19.7","18.2","923.86"
"99","2016","7","Maharashtra","Nasik","22.6","37.21","1646.46"
"99","2017","7","Maharashtra","Nasik","24.33","33.52","1377.89"
"100","2008","7","Maharashtra","Dhule","37.0","26.7","721.62"
"100","2009","7","Maharashtra","Dhule","38.6","37.32","966.84"
"100","2010","7","Maharashtra","Dhule","44.8","55.39","1236.38"
"100","2011","7","Maharashtra","Dhule","32.5","34.16","1051.08"
"100","2012","7","Maharashtra","Dhule","32.7","30.63","936.7"
"100","2013","7","Maharashtra","Dhule","24.3","28.0","1152.26"
"100","2014","7","Maharashtra","Dhule","24.7","21.6","874.49"
"100","2015","7","Maharashtra","Dhule","30.8","19.7","639.61"
"100","2016","7","Maharashtra","Dhule","22.9","17.83","778.6"
"100","2017","7","Maharashtra","Dhule","22.57","25.47","1128.44"
"101","2008","7","Maharashtra","Jalgaon","4.9","5.7","1163.27"
"101","2009","7","Maharashtra","Jalgaon","6.0","9.01","1501.67"
"101","2010","7","Maharashtra","Jalgaon","4.9","6.96","1420.41"
"101","2011","7","Maharashtra","Jalgaon","3.5","4.91","1402.86"
"101","2012","7","Maharashtra","Jalgaon","2.9","3.73","1286.21"
"101","2013","7","Maharashtra","Jalgaon","3.1","3.6","1161.29"
"101","2014","7","Maharashtra","Jalgaon","4.8","5.2","1083.33"
"101","2015","7","Maharashtra","Jalgaon","4.5","3.2","711.11"
"101","2016","7","Maharashtra","Jalgaon","4.9","6.8","1387.76"
"101","2017","7","Maharashtra","Jalgaon","5.05","5.6","1108.03"
"102","2008","7","Maharashtra","Ahmednagar","8.4","11.7","1392.86"
"102","2009","7","Maharashtra","Ahmednagar","10.4","12.35","1187.5"
"102","2010","7","Maharashtra","Ahmednagar","10.4","11.68","1123.08"
"102","2011","7","Maharashtra","Ahmednagar","11.3","13.81","1222.12"
"102","2012","7","Maharashtra","Ahmednagar","5.21","3.62","694.82"
"102","2013","7","Maharashtra","Ahmednagar","6.2","6.1","983.87"
"102","2014","7","Maharashtra","Ahmednagar","5.9","5.1","864.41"
"102","2015","7","Maharashtra","Ahmednagar","5.7","2.8","491.23"
"102","2016","7","Maharashtra","Ahmednagar","16.2","21.9","1351.85"
"102","2017","7","Maharashtra","Ahmednagar","15.72","19.5","1240.62"
"103","2008","7","Maharashtra","Pune","34.9","36.2","1037.25"
"103","2009","7","Maharashtra","Pune","39.0","40.92","1049.23"
"103","2010","7","Maharashtra","Pune","40.1","54.21","1351.87"
"103","2011","7","Maharashtra","Pune","46.1","52.77","1144.69"
"103","2012","7","Maharashtra","Pune","44.6","43.29","970.63"
"103","2013","7","Maharashtra","Pune","54.1","52.3","966.73"
"103","2014","7","Maharashtra","Pune","56.1","62.1","1106.95"
"103","2015","7","Maharashtra","Pune","25.6","38.9","1519.53"
"103","2016","7","Maharashtra","Pune","21.8","28.2","1293.58"
"103","2017","7","Maharashtra","Pune","21.69","23.1","1065.2"
"104","2008","7","Maharashtra","Satara","49.7","74.0","1488.93"
"104","2009","7","Maharashtra","Satara","53.3","72.01","1351.03"
"104","2010","7","Maharashtra","Satara","53.6","87.59","1634.14"
"104","2011","7","Maharashtra","Satara","46.9","69.13","1473.99"
"104","2012","7","Maharashtra","Satara","50.7","67.14","1324.26"
"104","2013","7","Maharashtra","Satara","43.5","71.75","1649.43"
"104","2014","7","Maharashtra","Satara","45.2","74.1","1639.38"
"104","2015","7","Maharashtra","Satara","45.2","65.22","1442.92"
"104","2016","7","Maharashtra","Satara","43.0","59.3","1379.07"
"104","2017","7","Maharashtra","Satara","35.68","51.6","1446.35"
"105","2008","7","Maharashtra","Sangli","21.2","15.1","712.26"
"105","2009","7","Maharashtra","Sangli","26.2","28.28","1079.39"
"105","2010","7","Maharashtra","Sangli","28.7","36.91","1286.06"
"105","2011","7","Maharashtra","Sangli","24.4","22.24","911.48"
"105","2012","7","Maharashtra","Sangli","22.6","17.59","778.32"
"105","2013","7","Maharashtra","Sangli","26.8","30.0","1119.4"
"105","2014","7","Maharashtra","Sangli","31.8","32.9","1034.59"
"105","2015","7","Maharashtra","Sangli","30.1","22.5","747.51"
"105","2016","7","Maharashtra","Sangli","32.6","41.8","1282.21"
"105","2017","7","Maharashtra","Sangli","29.25","35.2","1203.58"
"106","2008","7","Maharashtra","Solapur","8.1","11.3","1395.06"
"106","2009","7","Maharashtra","Solapur","9.5","11.95","1257.89"
"106","2010","7","Maharashtra","Solapur","7.7","8.32","1080.52"
"106","2011","7","Maharashtra","Solapur","6.1","6.19","1014.75"
"106","2012","7","Maharashtra","Solapur","4.2","4.55","1083.33"
"106","2013","7","Maharashtra","Solapur","5.0","5.9","1180.0"
"106","2014","7","Maharashtra","Solapur","5.8","6.9","1189.66"
"106","2015","7","Maharashtra","Solapur","3.5","2.9","828.57"
"106","2016","7","Maharashtra","Solapur","5.1","5.65","1107.84"
"106","2017","7","Maharashtra","Solapur","5.11","5.51","1077.22"
"107","2008","7","Maharashtra","Kolhapur","60.5","90.2","1490.91"
"107","2009","7","Maharashtra","Kolhapur","60.7","86.1","1418.45"
"107","2010","7","Maharashtra","Kolhapur","61.0","93.15","1527.05"
"107","2011","7","Maharashtra","Kolhapur","51.5","67.7","1314.56"
"107","2012","7","Maharashtra","Kolhapur","52.6","73.23","1392.21"
"107","2013","7","Maharashtra","Kolhapur","53.6","95.1","1774.25"
"107","2014","7","Maharashtra","Kolhapur","54.4","84.1","1545.96"
"107","2015","7","Maharashtra","Kolhapur","56.3","89.9","1596.8"
"107","2016","7","Maharashtra","Kolhapur","48.9","92.7","1895.71"
"107","2017","7","Maharashtra","Kolhapur","54.5","82.4","1511.93"
"108","2008","7","Maharashtra","Aurangabad","4.7","3.8","808.51"
"108","2009","7","Maharashtra","Aurangabad","5.3","4.73","892.45"
"108","2010","7","Maharashtra","Aurangabad","7.4","6.33","855.41"
"108","2011","7","Maharashtra","Aurangabad","6.2","4.98","803.23"
"108","2012","7","Maharashtra","Aurangabad","6.01","3.31","550.75"
"108","2013","7","Maharashtra","Aurangabad","5.5","5.97","1085.45"
"108","2014","7","Maharashtra","Aurangabad","4.9","1.2","244.9"
"108","2015","7","Maharashtra","Aurangabad","5.81","2.25","387.26"
"108","2016","7","Maharashtra","Aurangabad","7.9","6.9","873.42"
"108","2017","7","Maharashtra","Aurangabad","9.0","6.4","711.11"
"109","2008","7","Maharashtra","Parbhani","4.9","5.2","1061.22"
"109","2009","7","Maharashtra","Parbhani","2.2","2.6","1181.82"
"109","2010","7","Maharashtra","Parbhani","10.2","10.95","1073.53"
"109","2011","7","Maharashtra","Parbhani","10.1","9.65","955.45"
"109","2012","7","Maharashtra","Parbhani","5.3","3.66","690.57"
"109","2013","7","Maharashtra","Parbhani","10.4","10.6","1019.23"
"109","2014","7","Maharashtra","Parbhani","7.5","6.8","906.67"
"109","2015","7","Maharashtra","Parbhani","4.6","2.7","586.96"
"109","2016","7","Maharashtra","Parbhani","6.1","6.7","1098.36"
"109","2017","7","Maharashtra","Parbhani","6.17","7.6","1232.09"
"110","2008","7","Maharashtra","Beed","9.4","6.3","670.21"
"110","2009","7","Maharashtra","Beed","9.8","7.17","731.63"
"110","2010","7","Maharashtra","Beed","7.0","5.06","722.86"
"110","2011","7","Maharashtra","Beed","7.9","7.36","931.65"
"110","2012","7","Maharashtra","Beed","5.1","2.95","578.43"
"110","2013","7","Maharashtra","Beed","7.7","7.0","909.09"
"110","2014","7","Maharashtra","Beed","12.4","3.6","290.32"
"110","2015","7","Maharashtra","Beed","18.4","0.9","48.91"
"110","2016","7","Maharashtra","Beed","28.5","11.14","390.88"
"110","2017","7","Maharashtra","Beed","31.66","17.45","551.17"
"111","2008","7","Maharashtra","Nanded","4.6","4.5","978.26"
